ax ay az gx gy gz
548 720 -16860 -568 260 91
508 732 -17004 -586 274 86
556 680 -16816 -613 279 98
560 676 -17004 -599 265 59
596 636 -16936 -589 265 45
560 672 -16932 -565 221 63
592 664 -16952 -572 255 60
584 732 -17044 -555 272 98
632 696 -16920 -595 251 94
536 740 -16832 -573 248 88
568 688 -17048 -564 255 104
540 728 -16932 -595 260 86
544 704 -16956 -594 286 95
528 676 -16884 -588 240 52
516 724 -16840 -579 258 46
544 780 -16972 -575 242 97
500 684 -16928 -559 254 68
588 728 -16952 -553 271 89
556 756 -16964 -561 256 66
564 648 -17020 -580 264 112
552 696 -16992 -590 286 79
588 752 -17000 -613 253 69
536 676 -16968 -573 253 73
552 728 -16976 -568 239 82
564 740 -16880 -581 233 112
472 648 -16952 -589 254 100
496 716 -17000 -606 256 118
536 724 -16908 -598 224 117
500 716 -17048 -585 249 70
476 752 -17056 -576 262 65
548 732 -17064 -569 229 82
504 784 -16920 -581 250 69
516 720 -16884 -593 243 52
604 724 -17016 -555 249 96
516 712 -16964 -602 216 36
540 652 -16900 -558 259 41
556 716 -16996 -561 263 78
536 704 -16944 -600 245 89
524 684 -16888 -590 260 68
496 620 -16964 -543 288 96
516 688 -16896 -612 269 101
536 688 -16892 -597 275 65
532 696 -16808 -597 272 96
540 676 -16976 -593 263 84
548 712 -16956 -592 216 76
488 700 -16880 -565 238 116
600 652 -16904 -576 271 89
576 660 -16928 -615 217 60
584 740 -16960 -599 245 66
608 668 -16948 -573 246 53
564 708 -17044 -584 269 82
552 684 -17000 -571 249 75
516 724 -16964 -600 234 79
540 664 -16844 -568 244 70
564 656 -16944 -552 276 76
488 652 -17096 -579 231 85
608 700 -16924 -565 243 95
472 704 -16988 -577 261 85
560 692 -16944 -570 250 98
532 716 -16960 -573 268 74
604 708 -16932 -592 235 71
564 760 -16992 -540 242 70
576 676 -16884 -580 247 66
596 696 -17024 -585 252 75
612 676 -16956 -564 245 81
520 692 -17036 -584 260 68
520 680 -16900 -560 267 115
580 692 -16964 -581 245 82
512 716 -16932 -571 253 99
576 632 -16984 -561 274 104
588 716 -16948 -600 246 128
504 712 -16956 -583 241 79
496 740 -16980 -602 243 67
592 684 -16860 -625 215 87
508 696 -16936 -611 246 79
544 652 -16988 -590 246 109
572 708 -16948 -563 295 57
572 608 -17000 -580 258 82
556 700 -16992 -550 277 56
660 692 -16996 -582 257 80
596 632 -16888 -586 250 21
516 628 -16936 -582 255 87
632 696 -16916 -597 245 71
472 696 -17044 -556 260 59
520 720 -17092 -569 273 53
508 632 -16860 -618 237 69
560 712 -17012 -572 243 114
556 740 -16928 -607 236 105
544 680 -17036 -597 267 54
552 756 -16988 -527 245 64
584 768 -16960 -559 250 63
552 652 -16980 -593 280 54
544 720 -16952 -575 265 91
580 716 -16972 -573 280 104
564 648 -16948 -610 252 92
496 680 -16968 -576 233 83
536 696 -16936 -593 273 99
540 712 -16892 -567 264 84
540 644 -17048 -574 241 48
516 652 -16900 -569 256 80
540 712 -16968 -588 254 63
596 708 -16872 -549 265 74
536 748 -16952 -607 249 65
572 720 -17044 -604 244 52
552 740 -16908 -565 254 53
580 772 -17036 -607 231 81
600 680 -16844 -593 267 69
528 700 -16788 -557 251 57
512 612 -17016 -568 237 97
512 716 -16948 -550 246 85
452 696 -16968 -565 258 84
516 700 -16972 -574 235 90
512 696 -16980 -555 262 82
524 724 -16896 -568 248 48
520 684 -17004 -594 237 102
560 664 -16976 -605 271 55
620 680 -17024 -597 267 71
656 668 -16932 -575 244 58
512 640 -16860 -616 247 99
540 604 -16940 -586 207 76
476 456 -16800 -568 203 28
396 512 -16828 -630 237 31
316 580 -16956 -545 243 79
488 536 -17120 -556 260 55
468 628 -16940 -561 251 72
444 680 -16900 -548 284 68
504 844 -16852 -592 241 140
600 776 -17032 -574 277 157
752 852 -17076 -566 274 164
756 892 -16912 -581 269 192
784 808 -17056 -616 228 140
756 744 -16920 -592 207 152
784 780 -16908 -587 249 88
700 780 -16952 -593 196 82
644 744 -17024 -555 257 24
660 780 -16920 -573 239 -4
480 724 -16964 -586 218 -19
316 832 -16836 -608 194 50
212 816 -16900 -561 246 102
196 744 -16936 -574 228 84
288 812 -16984 -593 266 130
296 672 -16916 -623 248 159
384 640 -17028 -597 271 123
540 660 -16940 -580 291 127
644 616 -16984 -571 284 54
680 600 -16960 -553 290 19
652 652 -16936 -561 280 -43
676 660 -16976 -572 284 -45
556 648 -16928 -558 239 -33
616 692 -16920 -594 257 -14
600 708 -16936 -579 244 9
560 716 -16864 -600 242 57
584 616 -16952 -560 219 122
596 592 -17040 -639 248 197
544 632 -16912 -571 209 153
444 660 -16856 -568 251 149
480 672 -16872 -602 251 197
488 684 -17080 -604 223 180
452 824 -16916 -557 227 174
452 884 -16996 -571 262 188
552 876 -16928 -586 256 142
552 888 -16952 -618 257 75
668 824 -17008 -587 276 92
604 844 -16992 -595 251 17
592 724 -16972 -604 239 -29
628 660 -17036 -581 256 -59
592 624 -16948 -584 243 -99
556 620 -17004 -591 237 -103
504 560 -16996 -566 232 -83
468 500 -16876 -560 250 -59
412 508 -16892 -607 247 15
432 592 -16780 -557 256 53
516 504 -16892 -586 264 97
548 520 -17072 -584 239 121
552 592 -16928 -613 228 219
580 644 -16932 -584 272 241
548 588 -16952 -545 250 263
552 708 -16932 -611 229 244
556 716 -16948 -606 236 189
532 812 -16948 -555 238 184
512 812 -16924 -612 221 165
372 840 -16940 -613 225 91
476 836 -16968 -570 251 118
488 876 -16876 -567 289 1
572 828 -16920 -561 274 8
596 796 -16816 -557 255 -18
560 692 -16952 -580 278 -52
624 652 -17020 -575 243 -50
584 628 -16964 -548 261 -47
604 580 -17028 -577 240 21
568 564 -16928 -611 222 11
504 552 -17020 -572 237 67
516 428 -16872 -601 218 98
348 512 -16920 -604 215 128
368 580 -16912 -596 254 144
308 596 -16928 -588 239 187
360 616 -16988 -635 253 220
308 700 -16956 -587 258 227
404 796 -16904 -574 272 210
520 704 -16900 -547 261 189
604 860 -16932 -587 278 150
740 924 -17016 -577 278 144
748 936 -16984 -561 266 46
760 948 -16992 -562 228 31
784 896 -16960 -576 285 -44
772 856 -16984 -609 238 -1
776 792 -16948 -570 262 -30
640 748 -17028 -557 231 -46
636 700 -16912 -560 239 12
532 640 -16880 -588 256 13
408 584 -16856 -565 189 61
448 532 -16980 -627 243 75
388 548 -16948 -553 210 103
384 572 -16852 -609 270 152
420 644 -16932 -538 257 141
488 704 -16948 -529 286 168
464 636 -17004 -576 277 145
604 756 -16936 -609 260 167
600 756 -16936 -585 265 99
592 788 -16904 -583 301 79
728 748 -16888 -561 267 61
648 752 -16896 -573 260 2
668 644 -16880 -564 262 2
588 660 -16912 -560 280 -37
640 604 -16848 -590 246 -32
584 604 -16980 -591 212 -20
476 644 -17044 -583 244 -10
540 572 -16948 -592 246 42
472 588 -16864 -546 247 70
504 652 -16904 -590 284 125
464 624 -16868 -586 227 161
524 652 -16924 -610 277 180
532 716 -17024 -586 228 217
516 764 -16908 -575 267 193
512 772 -16912 -548 260 203
532 764 -17020 -564 245 153
616 820 -16840 -579 261 130
528 792 -16872 -626 243 83
600 820 -16992 -591 244 42
592 776 -16828 -600 251 -8
524 784 -16960 -616 254 -54
484 744 -16988 -572 258 2
476 660 -16948 -606 271 -46
436 676 -16848 -600 273 -30
536 592 -16976 -589 280 -10
588 640 -16956 -603 243 8
572 592 -16864 -620 265 90
604 600 -16912 -597 237 90
320 524 -16960 -596 261 79
604 740 -16964 -589 267 130
580 672 -16920 -514 214 172
520 668 -16976 -593 234 161
496 708 -16892 -628 257 132
456 708 -16876 -591 241 172
616 764 -16916 -584 280 146
